iso_code,language_name,longitude,latitude,area,continent,status,family,source
gaj,Gadsup,145.997,-6.31631,Papunesia,Pacific,not endangered,Nuclear Trans New Guinea,frantz_chester_i_gadsup_1976
gft,Gafat,39.5605,11.5764,Africa,Africa,extinct,Afro-Asiatic,leslau_wolf_gafat_1945
gag,Gagauz,28.0277,44.5988,Eurasia,Europe,threatened,Turkic,ulutas_ismail_gagauz_2000
gbu,Gaagudju,132.643,-12.5176,Australia,Pacific,extinct,?,harvey_grammar_2002
ggu,Gban,-5.51851,6.40859,Africa,Africa,not endangered,Mande,NA
bfu,Bunan,77.9596,32.2168,Eurasia,Asia,shifting,Sino-Tibetan,NA
gbi,Galela,128.44,2.31461,Papunesia,Asia,not endangered,North Halmahera,ipol_robinson_o_1989
gce,Galice,-120.75,45.3914,North America,Americas,extinct,Athabaskan-Eyak-Tlingit,hoijer_harry_galice_1966
car,Galibi Carib,-56.8323,5.83772,South America,Americas,shifting,Cariban,courtz_carib_2008
adl,Galo,94.6884956,27.9805586,Eurasia,Asia,threatened,Sino-Tibetan,post_grammar_2007
gal,Galoli-Talur,125.959,-8.61074,Papunesia,Asia,threatened,Austronesian,hull_geoffrey_galoli_2003
wof,Gambian Wolof,-16.1544,13.5337,Africa,Africa,not endangered,Atlantic-Congo,gambia_peace_corps_the_wollof_1995
kld,Yuwaalaraay-Gamilaraay,149.543,-29.9037,Australia,Pacific,nearly extinct,Pama-Nyungan,giacon_john_grammar_2014
gmv,Gamo,37.23808,6.27645,Africa,?,not endangered,Ta-Ne-Omotic,gonderie_samuel_documentation_2016
ihw,Birrdhawal,148.93,-37.05,Australia,?,extinct,Pama-Nyungan,mathews_r_h_language_1907
gnk,//Gana,22.2003,-21.8555,Africa,Africa,shifting,Khoe-Kwadi,nakagawa_hirosi_gana_2013
unn,Ganai,?,?,Australia,?,extinct,Pama-Nyungan,fesl_eve_ganai_1985
gan,Gan Chinese,115.166,27.9896,Eurasia,Asia,not endangered,Sino-Tibetan,NA
lug,Ganda,32.15153,0.66884,Africa,Africa,not endangered,Atlantic-Congo,mcpherson_laura_descriptive_2008
gnb,Gangte,94.1681,24.5113,Eurasia,Asia,threatened,Sino-Tibetan,NA
gcd,Ganggalida,139.426,-17.5446,Australia,Pacific,nearly extinct,Tangkic,keen_sandra_yukulta_1983
?,Gangou,?,?,Eurasia,?,moribund,Sino-Tibetan,yongzhong_gangou_1997
gao,Gants,144.771,-5.28113,Papunesia,Pacific,not endangered,Nuclear Trans New Guinea,daniels_don_gants_2015
pwg,Gapapaiwa,149.854,-9.73317,Papunesia,Pacific,not endangered,Austronesian,mcguckin_catherine_gapapaiwa_2002
wrk,Garrwa,137.72014,-17.4504,Australia,?,moribund,Garrwan,mushin_grammar_2013
gbm,Garhwali,78.7201,30.5061,Eurasia,Asia,threatened,Indo-European,chandola_anoop_chandra_syntactic_1966
ilg,Garig-Ilgar,132.182,-11.412,Australia,Pacific,nearly extinct,Iwaidjan Proper,birch_bruce_gli_2010
cab,Garifuna,-86.9091,15.3529,North America,Americas,not endangered,Arawakan,haurholm-larsen_steffen_grammar_2016
grt,Garo,90.462,25.2954,Eurasia,Asia,threatened,Sino-Tibetan,NA
gaq,Gata',82.984,18.6076,Eurasia,Asia,shifting,Austroasiatic,anderson_gregory_d_s_gta_2008
gvo,Gavião Do Jiparaná,-61.6752,-10.7235,South America,Americas,shifting,Tupian,moore_denny_syntax_1984
gwt,Gawar-Bati,71.5428,35.1982,Eurasia,Asia,threatened,Indo-European,morgenstierne_georg_notes_1950
gwd,Ale-Gawwada,37.2737,5.37869,Africa,Africa,not endangered,Afro-Asiatic,prisecaru_luminita_brief_2015
gay,Gayo,97.3456,4.3733,Papunesia,Asia,threatened,Austronesian,eades_grammar_2005
gzi,Gazi,49.4553,34.0357,Eurasia,Asia,shifting,Indo-European,borjian_habib_judeo-isfahani_2019
